endTime,artistName,trackName,msPlayed
2019-11-03 08:14:00-05:00,The Dip,Slow Sipper,33401
2019-11-03 08:15:00-05:00,Galactic,Going Straight Crazy (feat. Princess Shaw),970
2019-11-03 08:15:00-05:00,Briston Maroney,Freakin' Out On the Interstate,6720
2019-11-03 08:15:00-05:00,Max Frost,Adderall,43660
2019-11-03 08:20:00-05:00,Twiddle,Syncopated Healing,278291
2019-11-03 08:26:00-05:00,90 Pounds of Pete,Promiseland,291840
2019-11-03 08:39:00-05:00,Gramatik,"Satoshi Nakamoto (feat. Adrian Lau, ProbCause)",266670
2019-11-03 08:44:00-05:00,BROCKHAMPTON,JUNKY,276448
2019-11-03 08:45:00-05:00,Abhi The Nomad,Letter for God,87849
2019-11-03 08:46:00-05:00,half•alive,still feel.,630
2019-11-03 08:46:00-05:00,Paramore,Misery Business,570
2019-11-03 08:46:00-05:00,Seth Sentry,Run,770
2019-11-03 08:46:00-05:00,Bowling For Soup,1985,730
2019-11-03 08:46:00-05:00,Lotus ,The Opus (Live),1180
2019-11-03 08:46:00-05:00,Özün Çağan Altun,hoppi,610
2019-11-03 08:46:00-05:00,NugLife,The Love Dispensary,980
2019-11-03 08:46:00-05:00,Flatbush Zombies,Headstone,6980
2019-11-03 08:46:00-05:00,Twiddle,Syncopated Healing,11670
2019-11-03 08:46:00-05:00,Orleans,Still the One,790
2019-11-03 08:46:00-05:00,Marlowe,Tales from the East,620
2019-11-03 08:46:00-05:00,The Wombats,Let's Dance to Joy Division,720
2019-11-03 08:46:00-05:00,Mac Miller,Knock Knock,2910
2019-11-03 08:46:00-05:00,Red Hot Chili Peppers,Scar Tissue,710
2019-11-03 08:46:00-05:00,Dustbowl Revival,Gonna Fix You,560
2019-11-03 08:46:00-05:00,Chill Bump,Modern Man Intermission,1000
2019-11-03 08:46:00-05:00,Lupe Fiasco,"Adoration of the Magi (feat. Crystal ""Røvél"" Torres)",630
2019-11-03 08:46:00-05:00,Caesars,Jerk It Out,0
2019-11-03 08:46:00-05:00,Capital Cities,Farrah Fawcett Hair,650
2019-11-03 08:46:00-05:00,Perpetual Groove,Three Weeks,18700
2019-11-03 08:46:00-05:00,Sleepwalkers,Cocaine,740
2019-11-03 08:46:00-05:00,GoldLink,"U Say (feat. Tyler, The Creator & Jay Prince)",630
2019-11-03 08:46:00-05:00,Royal Blood,Figure It Out,650
2019-11-03 08:46:00-05:00,Vampire Weekend,A-Punk,1340
2019-11-03 08:46:00-05:00,Hobo Johnson,Subaru Crosstrek XV,980
2019-11-03 08:46:00-05:00,The Strokes,Last Nite,670
2019-11-03 08:46:00-05:00,Trey Anastasio,Clint Eastwood,760
