danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_artist
0.47,0.789,4,-6.32,1,0.101,0.0293,0.00179,0.0907,0.433,160.379,audio_features,5vKRk56FvQuEzw0g9Ng8do,spotify:track:5vKRk56FvQuEzw0g9Ng8do,https://api.spotify.com/v1/tracks/5vKRk56FvQuEzw0g9Ng8do,https://api.spotify.com/v1/audio-analysis/5vKRk56FvQuEzw0g9Ng8do,243763,4,Talk to the Moon - Ripe
0.594,0.837,7,-5.768,1,0.266,0.0202,0.0322,0.341,0.479,92.762,audio_features,0DD2BVM9NkDoC5Bb3mi2g2,spotify:track:0DD2BVM9NkDoC5Bb3mi2g2,https://api.spotify.com/v1/tracks/0DD2BVM9NkDoC5Bb3mi2g2,https://api.spotify.com/v1/audio-analysis/0DD2BVM9NkDoC5Bb3mi2g2,306440,4,Because I’m Me - Bondax Remix - The Avalanches
0.828,0.552,4,-5.329,1,0.0831,0.416,1.16e-05,0.128,0.673,152.039,audio_features,5GCByJDveugQLZdqCw1Tv3,spotify:track:5GCByJDveugQLZdqCw1Tv3,https://api.spotify.com/v1/tracks/5GCByJDveugQLZdqCw1Tv3,https://api.spotify.com/v1/audio-analysis/5GCByJDveugQLZdqCw1Tv3,206667,4,Alone Time - Carter Reeves
0.476,0.628,9,-6.27,1,0.0773,0.0871,1.5e-05,0.211,0.215,129.702,audio_features,5RLmUj52keVbx6ARnrWWAd,spotify:track:5RLmUj52keVbx6ARnrWWAd,https://api.spotify.com/v1/tracks/5RLmUj52keVbx6ARnrWWAd,https://api.spotify.com/v1/audio-analysis/5RLmUj52keVbx6ARnrWWAd,168960,5,Breakfast (Intro) - Mic Kellogg
0.814,0.564,2,-8.895,1,0.0972,0.0629,0.000133,0.0915,0.611,89.967,audio_features,4RBapvOPsrq6NVFKJJfrWM,spotify:track:4RBapvOPsrq6NVFKJJfrWM,https://api.spotify.com/v1/tracks/4RBapvOPsrq6NVFKJJfrWM,https://api.spotify.com/v1/audio-analysis/4RBapvOPsrq6NVFKJJfrWM,181112,4,Takin' My Time - Aer
0.855,0.395,11,-8.84,0,0.0604,0.229,0.00073,0.352,0.375,103.958,audio_features,7qKX7wI4RK7hMYwJg6zRDE,spotify:track:7qKX7wI4RK7hMYwJg6zRDE,https://api.spotify.com/v1/tracks/7qKX7wI4RK7hMYwJg6zRDE,https://api.spotify.com/v1/audio-analysis/7qKX7wI4RK7hMYwJg6zRDE,187853,4,Die Young - Max Frost
0.779,0.621,11,-7.922,0,0.404,0.194,0.0,0.305,0.693,90.089,audio_features,2zFhM9oidgzgxYEXZwp8nl,spotify:track:2zFhM9oidgzgxYEXZwp8nl,https://api.spotify.com/v1/tracks/2zFhM9oidgzgxYEXZwp8nl,https://api.spotify.com/v1/audio-analysis/2zFhM9oidgzgxYEXZwp8nl,452107,4,Lil B tha Grinda - Tha Grinda
0.621,0.679,2,-6.609,0,0.0337,0.468,1.89e-05,0.136,0.635,85.017,audio_features,4axM8TNEEWyacMuFf6xcii,spotify:track:4axM8TNEEWyacMuFf6xcii,https://api.spotify.com/v1/tracks/4axM8TNEEWyacMuFf6xcii,https://api.spotify.com/v1/audio-analysis/4axM8TNEEWyacMuFf6xcii,218824,4,See You Again - Michal Menert
0.81,0.549,5,-9.999,1,0.294,0.296,2.85e-05,0.139,0.567,79.004,audio_features,3Sw0Yc3eXS7dAcp2upfavs,spotify:track:3Sw0Yc3eXS7dAcp2upfavs,https://api.spotify.com/v1/tracks/3Sw0Yc3eXS7dAcp2upfavs,https://api.spotify.com/v1/audio-analysis/3Sw0Yc3eXS7dAcp2upfavs,183675,4,Strange Places - Case Arnold
0.664,0.708,7,-7.58,1,0.0377,0.232,0.0,0.195,0.548,108.043,audio_features,4DpN1x8nGXlXGFG2aYWHVL,spotify:track:4DpN1x8nGXlXGFG2aYWHVL,https://api.spotify.com/v1/tracks/4DpN1x8nGXlXGFG2aYWHVL,https://api.spotify.com/v1/audio-analysis/4DpN1x8nGXlXGFG2aYWHVL,152933,4,Ring the Bells - Johnnyswim
0.794,0.5,9,-7.215,1,0.0274,0.657,0.0292,0.106,0.455,98.969,audio_features,6M7VWjQnVsSCTifhHJGKpG,spotify:track:6M7VWjQnVsSCTifhHJGKpG,https://api.spotify.com/v1/tracks/6M7VWjQnVsSCTifhHJGKpG,https://api.spotify.com/v1/audio-analysis/6M7VWjQnVsSCTifhHJGKpG,187335,4,Rearrange Us - Mt. Joy
